Id,eng.gr.,int. Infmgt,gen. m.,b. stud.,b. doc,mic. C,algo,stud res.,eng II,p. of acc.,mat.inf.,c. maint.,DBMS,h. princ.,eng.com.,prog. C,comp. net,DCF,desc. Stat.,stat. prob.,phil,soft. Eng.,OOP,net.sec.,eng.phon.,syst. Expl.,calc.,req.eng.
1,14.9,16,19.2,12,13.4,14.36,13.4,16.2,14,2,19.2,14.28,15.35,15.5,5,10,4,2,13.5,18.8,16.67,13.25,16.3,13.95,13.4,13.4,16,13.9
2,17,7,4,17.8,16,15,15,17,16,13,2,16,17,16,8,15,7,16,17,17,16.3,4,16.5,15,14,15,17,13.5
3,10,15,14,2,11,13,0,4,5,11,16,15,14,5,14,3,15,13,5,15,6,3,1,4,13.5,14,13,12.02
4,13,14,11,17,9,0,9,14,14,10,13,14,12,13,14,11,15,11,11.4,10.5,15,12,14.3,14.5,12,12,10.03,13
5,14,15,18,16.4,12,15,14,16,14,13,19.5,16.1,17,16,15,14,16,15,15,18,18,14,16,15,13.4,14,17,14
6,19,16,2,16,10,16,2,15,15.01,12,15,16,14,15.1,14,12,17,2,14,15.7,15.2,12.5,14.3,15.2,13.4,12,9,13
7,14,3,13,16,12.2,3,12.3,3,15.2,19,13,15.9,13.5,5,2,0,2,14.2,13.5,13.9,15.4,13.7,14.3,3,8,13.1,12.3,12.7
8,4,15.2,14.9,15.01,1,13.06,12.3,15.4,12,11.05,14.9,8,13.2,14.5,13.1,13,6,13.6,13.8,3,14.9,12.29,10,14.8,13.41,12,14.7,12.3
9,14,15.1,13,15,12.2,13,12.3,15.3,15.2,12.09,13,15.9,13.5,15.5,14.02,0,15.2,14.2,13.5,13.9,15.4,13.7,14.3,14,14.3,12,12.3,12
10,9,18,1,17.8,15.9,17.9,19.2,16.2,17.5,15,18.7,17.9,3,16.9,15.03,15.05,17.6,17.5,16.7,18.8,16.67,15.6,17.7,17.5,16.4,18.9,16,16.5
11,13.5,15,14,7,11,13,10,14,16.4,11,16,15,14,5,14,13,15,13,13.5,15,16,14.4,15,4,13.5,14,13,12.02
